program_id,recipe_name,gates_assigned,total_batches,total_batched_weight_g,total_reject_weight_g,total_giveaway_weight_g,total_weight_processed_g,total_weight_g,total_items_batched,total_items_rejected,total_items_processed,total_giveaway_pct,updated_at
1,R_120_160_0_0_exact_35,"1,2",242,1016400,64636,201112,1217512,1282148,8470,409,8879,15.6856,2025-10-03 21:41:27
1,R_160_200_0_0_exact_25,"3,4",432,1728000,40521,167823,1895823,1936344,10800,212,11012,8.667,2025-10-03 21:41:27
1,R_200_250_4875_9999_NA_0,"5,6,7",105,511875,643,9296,521171,521814,2443,3,2446,1.7815,2025-10-03 21:41:27
1,R_10_1000_4875_9999_NA_0,8,21,102375,3634506,1604,103979,3738485,816,21713,22529,0.0429,2025-10-03 21:41:27
2,R_120_160_0_0_exact_30,"1,2",70,252000,18080,57314,309314,327394,2100,113,2213,17.5061,2025-10-03 21:41:32
2,R_160_200_0_0_exact_25,"3,4",138,552000,22171,63960,615960,638131,3450,112,3562,10.023,2025-10-03 21:41:32
2,R_200_250_4875_9999_NA_0,"5,6,7",411,2003625,0,49763,2053388,2053388,9075,0,9075,2.4235,2025-10-03 21:41:32
2,R_10_1000_4875_9999_NA_0,8,36,175500,2978662,5077,180577,3159239,706,14625,15331,0.1607,2025-10-03 21:41:32
3,R_190_250_4875_9999_NA_0,"1,2",92,448500,26543,10339,458839,485382,1977,107,2084,2.1301,2025-10-03 21:41:37
3,R_250_285_4875_9999_NA_0,"3,4,5",217,1057875,0,38897,1096772,1096772,4113,0,4113,3.5465,2025-10-03 21:41:37
3,R_10_999_4875_9999_NA_0,"6,7,8",57,277875,1555611,7964,285839,1841450,1029,6090,7119,0.4325,2025-10-03 21:41:37
4,R_220_290_4875_9999_NA_0,"1,2",74,360750,10995,10021,370771,381766,1364,38,1402,2.6249,2025-10-03 21:41:42
4,R_290_310_4875_9999_NA_0,"3,4",50,243750,9920,10556,254306,264226,850,32,882,3.9951,2025-10-03 21:41:42
4,R_310_400_4875_9999_NA_0,"5,6,7",111,541125,8444,16942,558067,566511,1635,24,1659,2.9906,2025-10-03 21:41:42
4,R_10_999_4875_9999_NA_0,8,11,53625,1183144,2513,56138,1239282,142,3849,3991,0.2028,2025-10-03 21:41:42
5,R_120_170_0_0_exact_30,"1,2",74,266400,1722,78567,344967,346689,2220,11,2231,22.6621,2025-10-03 21:41:47
5,R_160_200_0_0_exact_25,"3,4",135,540000,192390,87112,627112,819502,3375,1133,4508,10.6299,2025-10-03 21:41:47
5,R_200_250_4855_9999_NA_0,"5,6,7",198,961290,0,22547,983837,983837,4575,0,4575,2.2917,2025-10-03 21:41:47
5,R_10_1000_4875_9999_NA_0,8,1,4875,1955916,15,4890,1960806,39,10170,10209,0.0008,2025-10-03 21:41:47
6,R_160_200_0_0_exact_25,"1,2",12,48000,3600,7720,55720,59320,300,18,318,13.0142,2025-10-03 21:41:52
6,R_200_260_4875_9999_NA_0,"3,4",142,692250,19240,19120,711370,730610,3005,74,3079,2.617,2025-10-03 21:41:52
6,R_260_320_4855_9999_NA_0,"5,6",372,1806060,0,48627,1854687,1854687,6405,0,6405,2.6218,2025-10-03 21:41:52
7,R_130_170_4875_9999_NA_0,"1,2",102,497250,13600,7159,504409,518009,3345,80,3425,1.382,2025-10-03 21:41:57
7,R_170_200_0_0_exact_25,"3,4",188,799000,70200,88367,887367,957567,4700,351,5051,9.2283,2025-10-03 21:41:57
7,R_200_250_4855_9999_NA_0,"5,6,7",599,2908145,0,68635,2976780,2976780,13555,0,13555,2.3057,2025-10-03 21:41:57
7,R_10_1000_4875_9999_NA_0,8,48,234000,4368556,5285,239285,4607841,1447,21600,23047,0.1147,2025-10-03 21:41:57
8,R_130_170_4875_9999_NA_0,"1,2",1,4875,3060,36,4911,7971,31,18,49,0.4516,2025-10-03 21:42:02
8,R_170_200_0_0_exact_25,3,0,0,360789,0,0,360789,0,1897,1897,0.0,2025-10-03 21:42:02
8,R_170_200_4875_9999_NA_0,4,66,321750,34680,4359,326109,360789,1721,176,1897,1.2082,2025-10-03 21:42:02
8,R_200_250_4855_9999_NA_0,"5,6,7",177,859335,228,19542,878877,879105,4037,1,4038,2.2229,2025-10-03 21:42:02
8,R_10_1000_4875_9999_NA_0,8,7,34125,1209897,716,34841,1244738,145,5789,5934,0.0575,2025-10-03 21:42:02
9,R_130_170_4875_9999_NA_0,"1,2",2,9750,3230,55,9805,13035,63,19,82,0.4219,2025-10-03 21:42:07
9,R_170_190_0_0_exact_25,"3,4",39,165750,22990,12075,177825,200815,975,121,1096,6.013,2025-10-03 21:42:07
9,R_190_250_4855_9999_NA_0,"5,6,7",361,1752655,0,37316,1789971,1789971,8339,0,8339,2.0847,2025-10-03 21:42:07
9,R_10_1000_4875_9999_NA_0,8,12,58500,1977601,2120,60620,2038221,242,9377,9619,0.104,2025-10-03 21:42:07
10,R_130_160_0_0_exact_35,"1,2",211,960050,45280,113679,1073729,1119009,7385,283,7668,10.1589,2025-10-03 21:42:12
10,R_160_205_0_0_exact_25,"3,4",190,760000,1707,61943,821943,823650,4750,10,4760,7.5205,2025-10-03 21:42:12
10,R_200_250_4855_9999_NA_0,"5,6,7",164,796220,58989,20927,817147,876136,3584,291,3875,2.3886,2025-10-03 21:42:12
10,R_10_1000_4875_9999_NA_0,8,100,487500,2712819,7823,495323,3208142,3487,15719,19206,0.2438,2025-10-03 21:42:12
11,R_130_160_0_0_max_35,"1,2",10,49336,960,0,49336,50296,343,6,349,0.0,2025-10-03 21:42:17
11,R_160_205_0_0_exact_25,"3,4",6,24000,0,3978,27978,27978,150,0,150,14.2183,2025-10-03 21:42:17
11,R_200_300_4855_9999_NA_0,"5,6,7",292,1417660,9331,36516,1454176,1463507,5771,46,5817,2.4951,2025-10-03 21:42:17
11,R_10_1000_4875_9999_NA_0,8,30,146250,1531490,3291,149541,1681031,776,6264,7040,0.1958,2025-10-03 21:42:17
12,R_120_160_4875_9999_NA_0,"1,2",110,536250,5440,7594,543844,549284,3993,34,4027,1.3825,2025-10-03 21:42:22
12,R_160_195_0_0_exact_25,"3,4",13,52000,0,2442,54442,54442,325,0,325,4.4855,2025-10-03 21:42:22
12,R_195_250_4855_9999_NA_0,"5,6,7",0,0,0,0,0,0,0,0,0,0.0,2025-10-03 21:42:22
12,R_10_1000_4875_9999_NA_0,8,30,146250,598286,1578,147828,746114,1318,4318,5636,0.2115,2025-10-03 21:42:22
13,R_120_160_4875_9999_NA_0,"1,2",83,404625,32480,5653,410278,442758,2767,203,2970,1.2768,2025-10-03 21:42:27
13,R_160_195_0_0_exact_25,"3,4",147,588000,3700,43019,631019,634719,3675,20,3695,6.7776,2025-10-03 21:42:27
13,R_195_250_4855_9999_NA_0,"5,6,7",6,29130,0,880,30010,30010,144,0,144,2.9324,2025-10-03 21:42:27
13,R_10_1000_4875_9999_NA_0,8,5,24375,1071307,313,24688,1095995,200,6586,6786,0.0286,2025-10-03 21:42:27
14,R_120_170_4875_9999_NA_0,"1,2",55,268125,17680,4882,273007,290687,1740,104,1844,1.6795,2025-10-03 21:42:32
14,R_170_195_0_0_exact_25,"3,4",100,425000,12829,27952,452952,465781,2500,66,2566,6.0011,2025-10-03 21:42:32
14,R_195_250_4855_9999_NA_0,"5,6,7",31,150505,0,3164,153669,153669,745,0,745,2.059,2025-10-03 21:42:32
14,R_10_1000_4875_9999_NA_0,8,1,4875,879628,126,5001,884629,30,4985,5015,0.0142,2025-10-03 21:42:32
15,R_120_170_0_0_exact_30,"1,2",51,183600,27030,59760,243360,270390,1530,159,1689,22.1014,2025-10-03 21:42:37
15,R_170_195_0_0_exact_25,"3,4",259,1100750,62595,88210,1188960,1251555,6475,321,6796,7.048,2025-10-03 21:42:37
15,R_195_250_4855_9999_NA_0,"5,6,7",466,2262430,0,51087,2313517,2313517,10719,0,10719,2.2082,2025-10-03 21:42:37
15,R_10_1000_4875_9999_NA_0,8,44,214500,3745837,5948,220448,3966285,895,18724,19619,0.15,2025-10-03 21:42:37
16,R_190_280_4875_9999_NA_0,"1,2,3",869,4236375,90028,110658,4347033,4437061,17665,325,17990,2.4939,2025-10-03 21:42:42
16,R_280_300_4875_9999_NA_0,"4,5,6",288,1404000,0,15761,1419761,1419761,4911,0,4911,1.1101,2025-10-03 21:42:42
16,R_10_1000_4855_9999_NA_0,"7,8",266,1291430,5766794,44123,1335553,7102347,4364,22576,26940,0.6212,2025-10-03 21:42:42
17,R_120_170_4875_9999_NA_0,"1,2",177,862875,0,14268,877143,877143,5781,0,5781,1.6266,2025-10-03 21:42:47
17,R_160_195_0_0_exact_25,"3,4",36,144000,308090,14758,158758,466848,900,1871,2771,3.1612,2025-10-03 21:42:47
17,R_195_260_4875_9999_NA_0,"5,6,7",0,0,0,0,0,0,0,0,0,0.0,2025-10-03 21:42:47
17,R_10_1000_4855_9999_NA_0,8,10,48550,1035901,662,49212,1085113,381,6681,7062,0.061,2025-10-03 21:42:47
18,R_120_165_4875_9999_NA_0,"1,2",67,326625,159,5583,332208,332367,2153,1,2154,1.6798,2025-10-03 21:42:52
18,R_160_195_0_0_exact_25,"3,4",230,920000,158097,113657,1033657,1191754,5750,947,6697,9.537,2025-10-03 21:42:52
18,R_195_260_4875_9999_NA_0,"5,6,7",120,585000,0,12745,597745,597745,2828,0,2828,2.1322,2025-10-03 21:42:52
18,R_10_1000_4855_9999_NA_0,8,7,33985,1963610,1260,35245,1998855,144,10731,10875,0.063,2025-10-03 21:42:52
19,R_120_165_4875_9999_NA_0,"1,2",3,14625,0,186,14811,14811,97,0,97,1.2558,2025-10-03 21:42:57
19,R_160_195_4875_9999_NA_0,"3,4",60,292500,41117,5049,297549,338666,1619,218,1837,1.4908,2025-10-03 21:42:57
19,R_195_260_4875_9999_NA_0,"5,6,7",352,1716000,0,39159,1755159,1755159,7980,0,7980,2.2311,2025-10-03 21:42:57
19,R_10_1000_4855_9999_NA_0,8,42,203910,2067519,4697,208607,2276126,749,9696,10445,0.2064,2025-10-03 21:42:57
20,R_190_250_4875_9999_NA_0,"1,2,3",259,1262625,46000,28390,1291015,1337015,5684,184,5868,2.1234,2025-10-03 21:43:02
20,R_250_300_4875_9999_NA_0,"4,5,6",621,3027375,111919,70410,3097785,3209704,11221,406,11627,2.1937,2025-10-03 21:43:02
20,R_10_1000_4875_9999_NA_0,"7,8",508,2476500,4388800,82320,2558820,6947620,8003,16905,24908,1.1849,2025-10-03 21:43:02
21,R_190_275_4875_9999_NA_0,"1,2,3",199,970125,0,22078,992203,992203,4302,0,4302,2.2251,2025-10-03 21:43:07
21,R_250_300_4875_9999_NA_0,"4,5,6",61,297375,277510,4128,301503,579013,1045,1057,2102,0.7129,2025-10-03 21:43:07
21,R_10_1000_4875_9999_NA_0,"7,8",130,633750,1293706,21930,655680,1949386,2150,5347,7497,1.125,2025-10-03 21:43:07
22,R_120_170_4875_9999_NA_0,"1,2",70,341250,30940,5864,347114,378054,2162,182,2344,1.5511,2025-10-03 21:43:12
22,R_170_190_0_0_exact_25,"3,4",150,637500,27170,35086,672586,699756,3750,143,3893,5.014,2025-10-03 21:43:12
22,R_190_250_4875_9999_NA_0,"5,6,7",90,438750,0,8033,446783,446783,2192,0,2192,1.798,2025-10-03 21:43:12
22,R_10_1000_4875_9999_NA_0,8,0,0,1466483,0,0,1466483,0,8104,8104,0.0,2025-10-03 21:43:12
23,R_120_170_4875_9999_NA_0,"1,2",14,68250,6460,1221,69471,75931,443,38,481,1.608,2025-10-03 21:43:17
23,R_170_190_4875_9999_NA_0,"3,4",56,273000,21829,3930,276930,298759,1531,115,1646,1.3154,2025-10-03 21:43:17
23,R_190_250_4875_9999_NA_0,"5,6,7",122,594750,0,12878,607628,607628,2917,0,2917,2.1194,2025-10-03 21:43:17
23,R_10_1000_4875_9999_NA_0,8,3,14625,954029,373,14998,969027,66,4891,4957,0.0385,2025-10-03 21:43:17
24,R_120_170_4875_9999_NA_0,"1,2",30,146250,15300,2228,148478,163778,932,90,1022,1.3604,2025-10-03 21:43:22
24,R_170_190_0_0_exact_20,"3,4",173,588200,45414,36959,625159,670573,3460,240,3700,5.5116,2025-10-03 21:43:22
24,R_190_250_4875_9999_NA_0,"5,6,7",421,2052375,3301,42663,2095038,2098339,9835,15,9850,2.0332,2025-10-03 21:43:22
24,R_10_1000_4875_9999_NA_0,8,45,219375,2868675,6207,225582,3094257,838,14227,15065,0.2006,2025-10-03 21:43:22
25,R_120_170_4875_9999_NA_0,"1,2",53,258375,26860,4608,262983,289843,1680,158,1838,1.5898,2025-10-03 21:43:27
25,R_170_190_0_0_exact_25,"3,4",195,828750,58120,51640,880390,938510,4875,307,5182,5.5023,2025-10-03 21:43:27
25,R_190_250_4875_9999_NA_0,"5,6,7",511,2491125,0,53815,2544940,2544940,12001,0,12001,2.1146,2025-10-03 21:43:27
25,R_10_1000_4875_9999_NA_0,8,52,253500,3688313,6589,260089,3948402,960,18556,19516,0.1669,2025-10-03 21:43:27
26,R_120_170_0_0_exact_30,"1,2",131,471600,332862,97877,569477,902339,3930,2015,5945,10.847,2025-10-03 21:43:32
26,R_160_190_4875_9999_NA_0,"3,4",201,979875,39947,15044,994919,1034866,5688,211,5899,1.4537,2025-10-03 21:43:32
26,R_190_250_4875_9999_NA_0,"5,6,7",234,1140750,0,22324,1163074,1163074,5688,0,5688,1.9194,2025-10-03 21:43:32
26,R_10_1000_4875_9999_NA_0,8,23,112125,2727470,2818,114943,2842413,694,15306,16000,0.0991,2025-10-03 21:43:32
